name_ID;Feature_ID;S2_P_15;S4_P_15;S5_P_15;Average;SD
terminase large subunit;FDH45_gp001;3746.94;1585.31;1546.73;2292.993333;1028.216186
hypothetical protein;FDH45_gp002;0;0;0;0;0
virion structural protein;FDH45_gp003;6147.17;1002.78;1553.81;2901.253333;2306.207532
hypothetical protein;FDH45_gp004;89.41;4.78;25.23;39.80666667;36.05476051
hypothetical protein;FDH45_gp005;6547.61;345.19;772.16;2554.986667;2828.587004
hypothetical protein;FDH45_gp006;80.2;18.99;18.31;39.16666667;29.01627628
portal protein;FDH45_gp007;185.15;24.96;41.03;83.71333333;72.02596399
portal protein;FDH45_gp008;219.7;100.6;69.9;130.0666667;64.60765349
head maturation protease;FDH45_gp009;50.42;58.71;53.37;54.16666667;3.430940914
hypothetical protein;FDH45_gp010;80.9;75.54;53.48;69.97333333;11.86605616
major capsid protein;FDH45_gp011;354.65;424.67;344.18;374.5;35.7321228
hypothetical protein;FDH45_gp012;8.86;2.9;6.12;5.96;2.435788716
tail fiber protein;FDH45_gp013;226.34;262.17;184.68;224.3966667;31.66499048
virion structural protein;FDH45_gp014;175.65;126.75;87.73;130.0433333;35.96865425
hypothetical protein;FDH45_gp015;149.66;80.29;65.56;98.50333333;36.66966624
hypothetical protein;FDH45_gp016;109.91;49.6;40.34;66.61666667;30.84554461
hypothetical protein;FDH45_gp017;40.61;10.46;18.41;23.16;12.75872251
tail sheath;FDH45_gp018;123.3;93.2;51.15;89.21666667;29.58947824
virion structural protein;FDH45_gp019;102.14;70.24;43.57;71.98333333;23.94285744
intron encoded nuclease;FDH45_gp020;2878.06;1470.51;1589.88;1979.483333;637.2557407
hypothetical protein;FDH45_gp021;113.41;29.2;51.42;64.67666667;35.6336492
hypothetical protein;FDH45_gp022;0;0;0;0;0
hypothetical protein;FDH45_gp023;539.07;56.94;89.07;228.36;220.0963612
hypothetical protein;FDH45_gp024;26.87;13.68;17.89;19.48;5.500915075
virion structural protein;FDH45_gp025;1845.06;157.91;94.55;699.1733333;810.677006
tail assembly chaperone;FDH45_gp026;232.68;144.96;110.73;162.79;51.35745516
RNA polymerase beta subunit;FDH45_gp027;329.81;492.31;285.35;369.1566667;88.95403507
tail associated lysin;FDH45_gp028;103.43;80.66;50.95;78.34666667;21.48722463
lytic transglycosylase;FDH45_gp029;278.2;202.16;118.85;199.7366667;65.07692901
tail protein with lysin activity;FDH45_gp030;1027.33;868.71;655.65;850.5633333;152.2793086
tail protein with lysin activity;FDH45_gp031;989.44;386.44;496.18;624.02;262.2461302
glycerophosphoryl diester phosphodiesterase;FDH45_gp032;2237.55;889.71;751.13;1292.796667;670.4328203
poly-gamma-glutamate hydrolase;FDH45_gp033;1705.18;792.82;633.04;1043.68;472.2775311
virion structural protein ;FDH45_gp034;2999.45;526.49;1216.12;1580.686667;1041.973906
hypothetical protein;FDH45_gp035;1200.18;288.13;440.2;642.8366667;398.9611632
baseplate wedge protein;FDH45_gp036;1588.12;110.3;303.45;667.29;655.8824322
baseplate J-like protein;FDH45_gp037;1696.45;519.15;557.03;924.21;546.2750753
virion structural protein ;FDH45_gp038;805.76;108.58;134.01;349.45;322.8268714
baseplate protein;FDH45_gp039;5533.93;4804.74;3781.96;4706.876667;718.5785247
DUF4815 domain-containing protein;FDH45_gp040;3265.75;1386.17;1039.48;1897.133333;978.0532277
hypothetical protein;FDH45_gp041;23.19;2.53;3.56;9.76;9.505749138
virion structural protein ;FDH45_gp042;535.36;138.38;127.01;266.9166667;189.8748476
methyltransferase subunit G;FDH45_gp043;499.46;140.77;113.73;251.32;175.8083902
tail fiber protein;FDH45_gp044;2236.06;1980.06;1899.34;2038.486667;143.5394165
DNA helicase;FDH45_gp045;3186.51;1784.3;1666.9;2212.57;690.34534
HTH DNA binding protein;FDH45_gp046;3129.01;230.83;446.27;1268.703333;1318.37255
helicase DnaB-like;FDH45_gp047;4994.8;2228.98;1874.03;3032.603333;1395.029078
hypothetical protein;FDH45_gp048;5652.84;3433.78;4943.77;4676.796667;925.3874473
hypothetical protein;FDH45_gp049;2831.37;1264.87;1175.15;1757.13;760.4849781
recombination exonuclease;FDH45_gp050;5249.46;2082.36;2078.84;3136.886667;1493.815621
hypothetical protein;FDH45_gp051;3426.1;379.28;1066.95;1624.11;1304.760125
exonuclease;FDH45_gp052;3869.67;585.96;921.24;1792.29;1475.292947
anti-sigma factor;FDH45_gp053;1974.93;54.16;156.25;728.4466667;882.38167
DNA primase/helicase;FDH45_gp054;3886.76;572.24;950.49;1803.163333;1481.395641
transposase;FDH45_gp055;5387.05;1211.49;1695.31;2764.616667;1864.830267
hypothetical protein;FDH45_gp056;8373.76;1660.31;2195.06;4076.376667;3046.540883
hypothetical protein;FDH45_gp057;9450.72;2499.09;2387.58;4779.13;3303.62664
RusA-like Holliday junction resolvase;FDH45_gp058;4586.32;2705.55;1718.88;3003.583333;1189.445512
flavoprotein;FDH45_gp059;2937.59;723.32;758.84;1473.25;1035.546279
ribonucleotide reductase large subunit;FDH45_gp060;2457.56;672.91;641.69;1257.386667;848.7464068
ribonucleotide reductase class Ia beta subunit;FDH45_gp061;2299.81;519.15;436.51;1085.156667;859.5519695
hypothetical protein;FDH45_gp062;2125.65;47.12;168.58;780.45;952.4916143
transposase;FDH45_gp063;7273.77;811.03;1370.98;3151.926667;2923.53443
thioredoxin;FDH45_gp064;5487.97;95.52;761.22;2114.903333;2400.551767
hypothetical protein;FDH45_gp065;330.54;15.86;40.21;128.87;142.9482944
DNA binding protein;FDH45_gp066;569.54;201.17;184.41;318.3733333;177.7334057
DNA polymerase;FDH45_gp067;4680.31;2122.14;1869.52;2890.656667;1269.671481
HNH endonuclease;FDH45_gp068;0;0;0;0;0
hypothetical protein;FDH45_gp069;10469.11;6767.4;6118.58;7785.03;1916.325639
hypothetical protein;FDH45_gp070;17469.16;9070.76;7060.33;11200.08333;4508.247914
UvsX-like recombinase;FDH45_gp071;6515.34;4067.16;2914.7;4499.066667;1501.34598
